"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SPICEPREFIX";"VALUE";
"1";"";"CONN_02";"1X02";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"1";"";"CONN_03X2NO_SILK";"2X3-NS";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";
"4";"";"J176";"TO-92";"Q2, Q3, Q4, Q5";"";"";"";"";"";"";"";"";
"1";"";"MA12-2";"MA12-2";"SV1";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";
"1";"0";"R-US_0207/7";"0207/7";"R27";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"17";"0.1uF";"C-EU050-024X044";"C050-024X044";"C7, C8, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C28, C29, C30";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"0.47uF";"C-EU050-024X044";"C050-024X044";"C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"1.5nF";"C-EU050-024X044";"C050-024X044";"C25";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"100k";"R-US_0207/7";"0207/7";"R23";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"2";"10k";"10K_TRIMMER";"10K_TRIM";"TRIM1, TRIM2";"";"";"";"";"";"";"";"";
"16";"10k";"R-US_0207/7";"0207/7";"R2, R8, R9, R10, R11, R13, R15, R16, R17, R18, R20, R24, R29, R31, R32, R34";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"4";"10uF";"CPOL-USE2.5-6";"E2,5-6";"C1, C2, C12, C34";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"C";"";
"3";"1nF";"C-EU050-024X044";"C050-024X044";"C5, C26, C27";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"3";"1u";"C-EU050-024X044";"C050-024X044";"C3, C4, C32";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"2.2u";"C-EU050-024X044";"C050-024X044";"C31, C33";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"2.7k";"R-US_0207/7";"0207/7";"R25";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"5";"200mA/100V/1V";"DIODE-1N4148";"DIODE-1N4148";"D1, D2, D3, D4, D5";"Diode";"";"";"";"";"DIO-08378";"";"200mA/100V/1V";
"1";"220";"R-US_0207/7";"0207/7";"R33";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"1";"220k";"R-US_0207/7";"0207/7";"R14";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"4";"22k";"R-US_0207/7";"0207/7";"R1, R7, R12, R28";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"1";"22nF";"C-EU050-024X044";"C050-024X044";"C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"27k";"R-US_0207/7";"0207/7";"R6";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"1";"2N2222A";"TRANS_NPN-P2N2222A";"TO-92";"Q1";"NPN transistor";"";"";"";"";"TRANS-09536";"";"600mA/40V";
"2";"2N3904";"2N3904";"TO92";"Q6, Q7";"NPN TRANSISTOR";"";"";"";"";"";"";"";
"2";"3.3nF";"C-EU050-024X044";"C050-024X044";"C6, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"300k";"R-US_0207/7";"0207/7";"R21";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"2";"470k";"R-US_0207/7";"0207/7";"R5, R22";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"1";"47k";"R-US_0207/7";"0207/7";"R35";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"1";"560";"R-US_0207/7";"0207/7";"R4";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"2";"68k";"R-US_0207/7";"0207/7";"R26, R30";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"1";"82k";"R-US_0207/7";"0207/7";"R3";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"7";"LM741P";"LM741P";"DIL08";"IC1, IC2, IC3, IC4, IC5, IC6, IC7";"OP AMP";"";"";"";"";"";"";"";
